iter	Passed	Remaining
582	6026	4310
583	6036	4299
584	6043	4287
585	6053	4276
586	6062	4265
587	6073	4255
588	6082	4244
589	6091	4233
590	6101	4222
591	6110	4211
592	6120	4201
593	6130	4190
594	6141	4180
595	6152	4170
596	6162	4160
597	6174	4150
598	6184	4140
599	6196	4130
600	6206	4120
601	6217	4110
602	6227	4099
603	6237	4089
604	6248	4079
605	6258	4069
606	6269	4059
607	6279	4048
608	6290	4038
609	6301	4028
610	6312	4018
611	6322	4008
612	6332	3997
613	6342	3987
614	6352	3976
615	6363	3966
616	6375	3957
617	6385	3947
618	6396	3936
619	6406	3926
620	6416	3916
621	6426	3905
622	6436	3895
623	6446	3884
624	6457	3874
625	6467	3863
626	6477	3853
627	6487	3843
628	6498	3832
629	6508	3822
630	6517	3811
631	6528	3801
632	6538	3790
633	6549	3780
634	6559	3770
635	6570	3760
636	6580	3750
637	6590	3739
638	6600	3728
639	6610	3718
640	6621	3708
641	6631	3697
642	6641	3687
643	6651	3676
644	6661	3666
645	6671	3656
646	6681	3645
647	6691	3634
648	6701	3624
649	6711	3613
650	6720	3603
651	6730	3592
652	6741	3582
653	6751	3571
654	6761	3561
655	6772	3551
656	6782	3541
657	6792	3530
658	6801	3519
659	6811	3509
660	6821	3498
661	6831	3487
662	6841	3477
663	6851	3467
664	6861	3456
665	6871	3446
666	6881	3435
667	6891	3425
668	6902	3414
669	6911	3404
670	6921	3393
671	6931	3383
672	6941	3372
673	6951	3362
674	6961	3351
675	6971	3341
676	6982	3331
677	6992	3320
678	7002	3310
679	7012	3299
680	7021	3289
681	7032	3279
682	7042	3268
683	7053	3258
684	7063	3248
685	7072	3237
686	7083	3227
687	7093	3216
688	7103	3206
689	7113	3195
690	7123	3185
691	7133	3175
692	7142	3164
693	7152	3153
694	7163	3143
695	7173	3133
696	7183	3122
697	7194	3112
698	7204	3102
699	7214	3091
700	7224	3081
701	7234	3071
702	7245	3060
703	7255	3050
704	7265	3040
705	7276	3029
706	7286	3019
707	7296	3009
708	7306	2998
709	7316	2988
710	7326	2978
711	7336	2967
712	7347	2957
713	7357	2947
714	7369	2937
715	7379	2927
716	7390	2916
717	7400	2906
718	7410	2896
719	7420	2885
720	7429	2874
721	7439	2864
722	7449	2854
723	7459	2843
724	7469	2833
725	7479	2823
726	7489	2812
727	7500	2802
728	7510	2791
729	7519	2781
730	7530	2771
731	7543	2761
732	7554	2751
733	7564	2741
734	7574	2730
735	7585	2720
736	7595	2710
737	7606	2700
738	7616	2689
739	7626	2679
740	7636	2669
741	7648	2659
742	7658	2649
743	7668	2638
744	7678	2628
745	7689	2618
746	7699	2607
747	7709	2597
748	7719	2586
749	7729	2576
750	7738	2565
751	7749	2555
752	7759	2545
753	7769	2535
754	7780	2524
755	7791	2514
756	7801	2504
757	7812	2494
758	7822	2483
759	7832	2473
760	7842	2463
761	7853	2452
762	7863	2442
763	7873	2432
764	7884	2421
765	7894	2411
766	7903	2400
767	7913	2390
768	7924	2380
769	7934	2370
770	7944	2359
771	7956	2349
772	7966	2339
773	7977	2329
774	7987	2318
775	7997	2308
776	8008	2298
777	8019	2288
778	8029	2277
779	8039	2267
780	8050	2257
781	8059	2246
782	8070	2236
783	8080	2226
784	8090	2215
785	8100	2205
786	8110	2195
787	8120	2184
788	8130	2174
789	8140	2164
790	8151	2153
791	8161	2143
792	8172	2133
793	8182	2122
794	8193	2112
795	8203	2102
796	8214	2092
797	8224	2082
798	8235	2071
799	8244	2061
800	8255	2050
801	8264	2040
802	8275	2030
803	8286	2020
804	8296	2009
805	8306	1999
806	8316	1988
807	8326	1978
808	8336	1968
809	8348	1958
810	8358	1947
811	8368	1937
812	8379	1927
813	8389	1916
814	8399	1906
815	8410	1896
816	8421	1886
817	8431	1876
818	8441	1865
819	8453	1855
820	8463	1845
821	8473	1834
822	8483	1824
823	8496	1814
824	8514	1806
825	8524	1795
826	8533	1785
827	8543	1774
828	8553	1764
829	8563	1754
830	8572	1743
831	8582	1733
832	8592	1722
833	8603	1712
834	8613	1702
835	8623	1691
836	8634	1681
837	8644	1671
838	8655	1660
839	8664	1650
840	8675	1640
841	8685	1629
842	8695	1619
843	8705	1609
844	8715	1598
845	8725	1588
846	8736	1578
847	8746	1567
848	8756	1557
849	8767	1547
850	8777	1536
851	8789	1526
852	8799	1516
853	8809	1506
854	8819	1495
855	8830	1485
856	8841	1475
857	8851	1464
858	8861	1454
859	8871	1444
860	8881	1433
861	8890	1423
862	8900	1413
863	8911	1402
864	8922	1392
865	8932	1382
866	8942	1371
867	8952	1361
868	8962	1351
869	8971	1340
870	8981	1330
871	8991	1319
872	9002	1309
873	9012	1299
874	9022	1288
875	9033	1278
876	9044	1268
877	9054	1258
878	9065	1247
879	9074	1237
880	9084	1227
881	9094	1216
882	9104	1206
883	9114	1196
884	9124	1185
885	9133	1175
886	9143	1164
887	9153	1154
888	9163	1144
889	9173	1133
890	9183	1123
891	9194	1113
892	9204	1102
893	9214	1092
894	9225	1082
895	9235	1071
896	9245	1061
897	9261	1051
898	9271	1041
899	9281	1031
900	9292	1021
901	9303	1010
902	9313	1000
903	9323	990
904	9334	979
905	9344	969
906	9355	959
907	9365	948
908	9376	938
909	9386	928
910	9396	917
911	9406	907
912	9416	897
913	9426	886
914	9436	876
915	9447	866
916	9457	856
917	9467	845
918	9477	835
919	9487	824
920	9497	814
921	9510	804
922	9520	794
923	9531	783
924	9541	773
925	9552	763
926	9562	752
927	9571	742
928	9582	732
929	9592	722
930	9602	711
931	9612	701
932	9622	691
933	9632	680
934	9643	670
935	9653	660
936	9663	649
937	9674	639
938	9684	629
939	9694	618
940	9705	608
941	9715	598
942	9725	587
943	9736	577
944	9745	567
945	9755	556
946	9765	546
947	9777	536
948	9787	525
949	9797	515
950	9808	505
951	9818	495
952	9828	484
953	9839	474
954	9849	464
955	9860	453
956	9870	443
957	9880	433
958	9891	422
959	9901	412
960	9911	402
961	9921	391
962	9931	381
963	9944	371
964	9955	361
965	9965	350
966	9976	340
967	9985	330
968	9995	319
969	10007	309
970	10018	299
971	10030	288
972	10040	278
973	10050	268
974	10060	257
975	10071	247
976	10081	237
977	10091	227
978	10101	216
979	10111	206
980	10121	196
981	10132	185
982	10142	175
983	10152	165
984	10161	154
985	10171	144
986	10182	134
987	10193	123
988	10203	113
989	10213	103
990	10224	92
991	10234	82
992	10245	72
993	10254	61
994	10265	51
995	10275	41
996	10286	30
997	10296	20
998	10306	10
999	10315	0
